,userName,review,title,rating,isEdited,date,developerResponse,Company_name
10,Biglongpecker12,The manager abruptly started shouting at us to leave they were closed really very rude talked down to us my partner was offended I assume he had a terrible night I hope each and every night is just awful for him the poor guy sounded very offensive language spewed from his filthy mouth. My partner was going to curse back to him but I waved her down and responded we need to take the high road. Worst experience here ever. This happened on Friday night about 10:09 pm close at 10:30 pm apparently they ran out of food a truck was unloading in the parking lot as we were trying to order an 8 piece meat only order the attendant was talking to us and the managed just came up and started acting unprofessional that were closed and to get lost in so many choice words. Terrible customer service I hood he gets fired.,KFC Gwinnett STORE,1,False,2022-09-25 02:20:29,,KFC
11,La Vega Nuke,"I’m only giving this app 2 ⭐️ because of the staff being friendly and quick to offer assistance. I made an order to the location closest to my house and it sent me somewhere else. Not only that, this location I was sent to didn’t have my order!!! It’s going on 2hrs since I created the order and I’m still waiting!! I love KFC, but something needs to be done to correct this location issue. 

I created a dummy order to see where it would send me... I had to select my location TWICE to get it to stick that I wanted this particular location. All I can say is it’s going to be a while before I use this app again.",🤬🤬🤬 Outrageous 🤬🤬🤬,2,False,2021-04-16 01:41:02,,KFC
12,kakemix420,Horrible app!!! It took my money but did not place my order. 😡 it gave me an error message BUT STILL TOOK MY MONEY!! I go up to the kfc and they didn’t have the order request either. I went ahead and paid for food because I was starving and it wasn’t the managers fault the app is trash. She couldn’t refund me because there was nothing for her to refund… I tried to look up my order history but all I get is the loading circle. I sent an email and tried to call corporate but have gotten no where. Sure it’s less than $7 but that’s not the point. I recommend you just go to the store and order there. I had my food in less than 5 minutes when I ordered in store.,0 stars,1,False,2021-12-09 22:49:10,,KFC
13,Litsuneroo,"In the app it said that there are two stores open around my area around 10pm. Started online order so when I get there I only have to pick it up. The app confirmed my order and gave me a pick up time and charges my card. I go there and store was closed. So I ordered again at the other store the app was saying was still open and same thing, store was also closed. So now I got two charges on my credit card which I assumed will not post, but I was wrong cause I got two charges that posted. Now, Im having a hard time contacting KFC for a refund. Might just do a refund from my credit card if possible.",Wrong information about store operating hours,1,False,2022-11-16 12:46:02,,KFC
14,SpOoNMaN LIVE,"I tried ordering with the app the other day and it said there was a problem with my card. Figuring it was a glitch, I retried the transaction, no dice. I tried reentering the card information and ordered one more time. Received a message saying that my card information was bad. In the app I received notifications that my orders had been cancelled. I then go to look at my card and find I’ve been charged 3 times for the orders placed. To make matters worse, I tried emailing the email address provided in the app and it bounced back as an invalid email address. Hoping I’ll get my money back on those orders I never received. Been days at this point, fingers crossed.","Order cancelled, charged anyway",1,False,2021-06-11 17:30:27,"{'id': 23377657, 'body': ""Oh no! We sincerely apologize for the troubles you've had with the app. If you have not already you can reach out to our customer service team at 1-800-CALL-KFC or through virtual assistant at https://www.kfc.com/contact and they can assist you with this issue. "", 'modified': '2021-06-14T18:09:15Z'}",KFC
15,stifferspqr,"Having previously downloaded the app and setting up an account, I decided to order…
An hour and a half later I still had no food!!! 
Every time I clicked on the “order status” link the page failed to load. I then cancelled the order and notified customer service through the app. Knowing this is a fairly new app I was willing to give them the benefit of the doubt. However it’s been almost a month since and all I have received from them by way of explanation is the auto generated response.
Just terrible customer service not how things should go for a new highly promoted app.",No service no satisfaction terrible app,1,False,2022-01-04 15:40:42,,KFC
16,Diann325,I had a craving for KFC I haven't been in awhile so i go buy my family KFC on Moffett Road I ordered on the app then went to pick it up the employees wasn't nice then  they told me they didn't even get my order but then they told me to wait and see if they get it so I waited there for 40 minutes i had to wait because they already took the money then I finally get it and go home by the time i get home it's not even edible it's so greasy no crisp nothing like KFC is supposed to look like so I spent a lot of money on food that can't even be consumed horrible food and service I won't be going back if I could give 0 stars I would,Horrible service and food,1,False,2022-11-24 02:49:22,,KFC
17,Happy2bWed,"I will place an order. It will say, for instance, the the order should be ready for pickup at 6:30. Come to find out that the order is not “on the screen” until 6:30. It is as if I just placed the order. The store should be notified and working on it so that when I show up at 6:30 to pick it up, it’s ready. It’s not that they are busy, it is that they don’t know about it unless they go looking for it.",Store not notified of order soon enough,3,False,2022-11-12 00:53:21,,KFC
18,Kajuluri,"They made me order through app cos I get to
Pick up ny food quickly uaing Mobile Order Pickup. When I went there, these losers locked themselves inside not reaponding to me for 20 mins. I waited in Chicago cold for 20 mins and my hands are frozen to a point where I couldnt feel a think. I had to go back into drive through queue for 35 mins again and get my order delivered cold. They not only made me waste my time ordering agead, they also delivered cold food and made me freeze. Now I will make them cold enough with my lawsuit and make them taste what happens when they freeze a lawyer almost to death.",Bunch of Brainless Workers,1,False,2021-12-19 00:36:04,,KFC
19,littlengod,"Overall I highly recommend this service but however it gets extremely annoying trying to place a order for delivery, where you put all details that are required to place said delivery and if you use a card to pay which I do input all that too but for some reason even after that it still won’t let me place the delivery, pls fix this problem it really ruins the app to work for delivery in my opinion.",Decent service but sometimes the delivery button does not work,2,False,2022-10-28 20:05:42,,KFC
20,Gekko343,"The app is great, except that it does not have all available drink options or an “open text” field. Every time I order, I have to change my wife’s drink when I arrive to pick up our food. She likes Cherry Pepsi, which they have, but it isn’t listed as an option on the mobile order",Missing drink options,4,False,2022-06-11 21:34:31,,KFC
21,Asta_Viii,everytime i go to order my food the picture shows a mtn. dew sweet lighting but once im done nd go ahead and pay for my order i find out that its on pepsi nd now i cant change the order so i can get said drink i have to select the drink myself when it should automatically be set to whats in the image i clicked that image cause thats what i want if i wanted a pepsi i wouldve built the order and on top of that when i go to schedule my order there is no :50 or :55 option as if those times don't exist,Picture Vs Whats ordered,2,False,2022-06-27 17:40:24,,KFC
22,Ghiev,"This is for the consumers and the developer. I don’t usually write reviews but this app deserves zero stars. 
It sometimes crashes when adding items to bag and other times when checking out. 

This app will take your money and reschedule your pickup after you pay.

If you add a third item the app changes your pickup time 20 minutes after the time you scheduled your order pickup. This 20 minutes occurs when adding a third item to bag. It can even be an order of fries. The 20 minutes is added no matter how far in advance you schedule your pickup. I placed an order at 2 p.m. to be scheduled for pickup at 5 p.m. The app changed my pickup time to 5:20 AFTER I paid for my order. If a three hour heads up isn’t enough of a heads up for a fast food order please tell me how much in advance I need to place it. I couldn’t cancel the order in the app either.",Crashes and adds 20 minutes,1,False,2022-08-16 22:56:27,,KFC
23,leighleigh1979,"This app is awful. I ordered food last Thursday, went to the store to pick up my order, only to be told that what I had ordered was no longer available and they told me they couldn’t refund me my money at the store and that I’d have to go through the app. There’s no option on the app to cancel your order. I’ve since opened a ticket online and have not heard back from anybody or gotten a refund. There’s a 1-800 number the store employees told me to call but I’ve held for 20-30 minutes and never get to talk to a person. What a terrible experience.",Do not use this app!,1,False,2022-01-31 21:46:52,,KFC
24,franklm4,"I’ve had this app for what feels like forever and no matter how long I want, how many times I try, no matter how many times I install and uninstall the app, or turn my phone off and on it NEVER works! Every time I go to order it says no results. It doesn’t matter what location I pick it ALWAYS says no results and won’t let me pick a location. Even when I go to different cities and one time I even went to a different state and still nothing. At this point it’s just taking up space on my phone. I wouldn’t recommend it to anyone.",Do Not Recommend,1,False,2022-03-10 14:13:02,,KFC
25,nurytobar,Let me start off by saying if I could give no stars I would. I am very disappointed by the app. They have KFC and Taco Bell combined at center location but those locations won’t show up on the app. The only location they show are another city away. It does show the KFC in my location if I zoom in on the app but can’t click on it. This is my second time redownloading the app to see if it’s changed but it hasn’t not. The app has deals I would like to get but don’t get the chance too. So once again I will be deleting it again!!,location & app,1,False,2022-11-15 00:53:13,,KFC
26,TxBoniBlue,"Seriously, I ordered using the app, arrived and went through the drive through to pick it up at the time it was supposed to be ready, but was told I needed to come inside to pick it up. There was no one behind me in the drive through. I could have driven up, ordered, (got the drink I really wanted which wasn’t on the app menu) and sat in my car after being up and working a 12+ hour day. I’ll know better next time…",Why bother with the app if you have to go inside once you get there?,2,False,2021-09-08 23:19:34,,KFC
27,ADisappointedEmu,"This app will allow you to order items that are not sold at the location. I ordered wings on the app and drove 15 minutes to pick them up. The drive thru informed me they do not carry wings at their location and I will have to refund with whatever service I ordered them on. 
This app does not have a button for cancellation or order issues, the only way to contact them is through “feedback” on there website which is typically used to review your experience.
Please fix these problems. Big waste of time.",BEWARE,1,False,2021-10-23 01:04:53,"{'id': 25910672, 'body': ""Thank you for your feedback. We sincerely apologize for the trouble you've had. Can you send us the location of this restaurant to KFCMobileTeam@yum.com so that we can follow up?"", 'modified': '2021-10-26T18:05:04Z'}",KFC
28,BallisticGray02,"I don’t know why, but whenever I try to order nowadays, the food doesn’t appear in the bag (it keeps saying “please wait” but I’ve waited several minutes); I’ve reloaded the app multiple times and even logged out and back in and it didn’t fix the situation. I’ve told the workers there about it and they said it was probably because of wifi and other orders; I had full bars and 5g and there was barely anyone ordering.","App loading problems, bag not being filled",2,False,2022-05-28 03:53:22,,KFC
29,MonsterMike72,"When you order thru the app, there is no communication on your order when the store has issues. 
I ordered thru the app in advance specifically to avoid a line. 
However when I arrived the store lobby was closed due to staffing issues. 
I had to wait thru the drive thru line, then only to find out they were out of extra crispy chicken and could not satisfy my order. 
My option was to take original recipe, or go thru the app to try and get a refund… after already waiting thru the line. 
I understand running out of product. 
I understand being short staffed. 
Turn off the online order option thru the store to alleviate issues like this. 
I would not be as upset had I just arrived at the store and experienced these issues. 
I am upset because the app offers a service it cannot in good faith fulfill.",App order submission,1,False,2022-02-28 00:01:51,,KFC
30,Lilskip3125,"Not only did it not save my future pick up time for a later time, told me after submitting would be ready in 3-5 minutes, we live 20 away. Called KFC and they wouldn’t remake or hold, just tossed it on the warmer table. Also - if I use the app, I cannot pick up in the drive thru, you have to go in which I find ridiculous. Everything is paid for, one of the quickest orders and your gonna make me park and walk in for you to just hand me a bag?!? Deleted app, just stupid.",Lame,2,False,2021-09-17 22:43:51,,KFC
31,Mo.cycle,"We ordered hours ahead with the app but when we got the food home we realized we were given only half the order.  A simple solution would be to call the restaurant, report the error and then go back and pick up the food we paid for.  Nope, was told I’d need to get a refund through the app and reorder- even though they could see a mistake was made.
It took almost an hour to handle the refund process through the app- which I won’t get for 3-7 business days.  We didn’t bother reordering.",Terrible,1,False,2022-10-03 02:31:06,,KFC
32,Emilymikes,Did an order thru the app and the store messed up the whole order. The store couldn’t do anything so I had to spend 20 minutes on hold and then 20 minutes on the phone with customer support to get my money back. They didn’t even have any of my info from my order. The customer support ppl don’t hang into from the app. Terrible customer experience. Don’t build an app if I can’t give feedback for my order and get my money back thru the app when needed.,Not ready to have an app,1,False,2022-03-28 23:54:23,,KFC
33,Galaxydead,I like being able to order ahead and save time but I can’t customize which chicken pieces go in the bucket.  My wife doesn’t like the wings and prefers to switch them out for breast pieces.  Since we can’t request that we have to go to the store and order and wait.,Need to be able to customize chicken pieces,4,False,2022-02-20 17:16:30,,KFC
34,I_is_Luke,"How do you finally build an app after being a decade late and manage to not even add your entire menu to it? Like just the main thing to point out, you don’t have popcorn tenders/chicken in your app menu. I have not been able to even order through the app yet because there are missing menu items or things are only bundled in a specific way on the app and you can choose what you’d like. Seriously your parent company is PepsiCo, you have the money to do better…",Not the full menu??,1,True,2022-02-01 20:11:49,"{'id': 25910740, 'body': 'Thank you for your feedback. ', 'modified': '2022-02-01T20:11:49Z'}",KFC
35,Glo4327,"Still no refund since 3/8/21; sent in my order number and nothing. Beware!!!!

I ordered via this app, got to the store and discovered they were out of both items. No one watched out to me until I got there. Tried to cancel so I could get a refund. No cancellation choice. Had to call the customer service #, was told credit may take 2-3 days depending upon my bank; a week has gone by and still no refund. Please do not use this app. You will never get your money back.","Out of food, durham nc roxboro road",1,True,2021-03-25 01:36:57,"{'id': 21707913, 'body': ""Oh no! We sincerely apologize for your experience at the store. We'd be happy to take a look into this for you, please contact us at KFCMobileTeam@yum.com with your order number. Thank you."", 'modified': '2021-03-25T01:36:57Z'}",KFC
36,Beyl89,"I had an error with my order, which was not the fault of the app but whenever I try to reach out through the app to customer service, it was difficult to get a hold of a live agent. In the chat box, I was unable to respond to the agent because the space where I was meant to type did not reappear. The agent assumed that I was ignoring them and closed the chat without me being able to speak with them.",Unfriendly for users,2,False,2022-11-26 19:40:38,,KFC
37,Ogodidifogofiwidfkgodolelel,"The employee said that the mobile orders are last priority (next to in-person and drive thru), so they didn’t get to our online order until 40 minutes after the estimated pick up time (after I went up to ask about the order). Maybe the employee was new and their mobile orders are typically stellar, I’m not sure. Don’t waste time on the app, they’ll get your order done quicker in person or in the drive thru.",mobile orders are not really looked at,1,False,2022-06-08 01:30:22,,KFC
38,DonTodsona,"The app does not allow me to select any nearby restaurant locations for pick up, and in fact only shows two restaurants in all of Michigan; neither of which are close enough. 
If I attempt to place an order for delivery, it says delivery is not available for my location, even though I live in a subdivision of one of the largest cities in my state. 
The app is completely useless, unfortunately.",Unusable,2,False,2022-06-17 13:25:13,,KFC
39,Vanessa ☆,"I can’t even manage to place an order through this app. It’s very slow and when I manage to put what I want in my cart, suddenly all of my items disappear. This has happened three times in the span of 20 minutes. Their website is super buggy as well so I was hoping their app would be better, but I’m running into the exact same problems with the app. Not worth using. Don’t waste your time. Just order at the store.",AWFUL and full of bugs,1,False,2022-06-02 01:15:49,,KFC
40,xiaoxiao724623,"I have doordash plus, but when it comes to order kfc I’d prefer kfc app, even I have to pay delivery fee, this is how much I love this app. It’s so clean and easy to navigate. You can schedule order for delivery too.",So easy to navigate,5,False,2022-08-03 19:16:42,,KFC
41,fortyf1ve,It’s sad how this is the way I have to look for ways to order my Dinner at kfc. They don’t know what that means at the restaurants. They always want to sell you a combo with a drink. I don’t need the drink. At all. So frustrating. The app lets you see options they don’t even know about at the location.,Dinner option.,4,False,2022-02-06 03:53:32,,KFC
42,emwantstodie,There’s a kfc right down my road but instead it tells me I can only go to the one 11 miles away?? If you can only use this at certain locations it shouldn’t be an app. This is not a problem at any other fast food chain that offers a mobile app. Not to mention why can’t I scan for points? I download all the food apps just to scan for points when I occasionally get food there. Clearly the kfc app is just as outdated as their stores.,"Waste of time, outdated",1,False,2021-10-10 16:36:02,"{'id': 25650548, 'body': ""Thank you for your feedback. We sincerely apologize for the trouble you've had with the app. Can you send us the location you were looking for and screenshots of the errors in the Account section to KFCMobileTeam@yum.com so that we can follow up."", 'modified': '2021-10-13T04:15:24Z'}",KFC
43,MovieMasterReview,"Cons: I don’t understand the convince factor of this app since I CAN’T go to the drive through to pickup my order. Instead , I have to get off my vehicle (even when there is no line, and while it’s raining). it’s much easier to just go to the drive-through put your order in and pick it up in the drive-through. As if they don’t want us to use the app. Pros: Good tasting chicken and smooth operating app",Inconvenient app,2,False,2022-09-11 19:44:25,,KFC
44,Guyian,All I wanted was Mac and cheese bowl that had to order through this app.  I tried everything I could to order it but kept messing up so wasted my time and my wife time trying to order.  Made us both mad and ended up getting something else two days in a row so thanks for making me excited to just be disappointed,Tried ordering 5 times two different days with two cards at two different locations never worked,1,False,2022-07-18 22:08:54,,KFC
45,Bessie's Muzic,"If I could give this zero stars I would! I had items missing from my order so I tried many times to do the chat and while I’m actively typing to the agent, after several times being told no agent was available, they continued to disconnect saying they weren’t hearing from me! I have screen shots of me sending messages and they refuse to help.! Not to mention the food was disgusting. Never again!",Horrible customer service and even worse food!,1,False,2022-06-11 23:05:45,,KFC
46,HerBatsy,The app will allow you to order from a store that is closed. Then charge you and force you to speak with multiple agents in order to refund the order for a product they did not provide. There is listed to be an option to cancel an order that isn’t made yet but this is false. Over an hour of my time on the phone waiting to have you return my funds without even an apology.,Questionable business ethics,1,False,2022-03-07 07:04:46,,KFC
47,RoscoeSlods,"The app works pretty well. I placed order, pulled into one of several designated curbside spots, followed all instructions. I could’ve sat there till midnight, and they would never have brought out my food. Apparently they don’t check their alerts! Employees weren’t busy at all. Why have designated curbside parking spots if you have to go inside????","App is fine, local KFC not cooperative",3,False,2021-04-09 01:24:50,,KFC
48,K18284959382,"I tried ordering both online and on the app and every time it asks for location, the location I am ordering from never registers in the cart section. 
When I select my order from the menu itself, hit the button that says pick a store to see prices; whether or not I select order now or order later, the screen I just says please wait and then doesn't do anything. 
🙃",Doesn't work,1,False,2022-11-12 16:38:00,,KFC
49,Debbie Dootle,App is very hard to use to order. Some of the selections don’t work. Tried ordering a chicken sandwich. Said there were 2 to choose from. Couldn’t choose. Just had to add to the bag and hope we got what we wanted. This happened on all choices. Was unable to see the the size of cole slaw. It was easier to wait in a long line and order at the drive thru.,Hard to make selections.,2,False,2021-12-30 23:42:01,,KFC
50,cb479,"This app does everything I need it to for my chicken cravings. I’ve only had a few issues here and there, but nothing I couldn’t figure out and work through.",Decent app,5,False,2021-11-03 17:15:06,,KFC
51,Ghatty,Downloaded this because of an advertisement for “free delivery” when ordering via the app. When I try to use this garbage it just sends me to DoorDash (complete with their usual delivery fee). What is the point of an app that does nothing except send you to another app? Why not just say “use DoorDash” instead? This is a COMPLETELY useless app designed to steal your data while offering literally nothing. Save yourself the annoyance and skip this one.,"Useless app, false promises",1,False,2022-02-24 20:09:18,,KFC
52,Anubisankh,"First, the app is fine. It’s a little clunky, but manageable. KFC managed to remove all of the convenience from a mobile app.  The problem is that unlike every other fast food place, when you order via the app, you can’t pick it up in the drive through. You either have to park and call a phone number for it to be brought out to you, or you have to park and go inside to get it.",KFC doesn’t understand mobile,1,False,2021-09-30 19:15:15,,KFC
53,Bluesquidboy,"KFC is certainly tasty but it also is expensive so I usually use a coupon for a bit if savings. I liked the idea of being able to order ahead, however I discovered this app does have a provision to enter a coupon so everything purchased through the app is full price. They should add coupons to the app so same price is available for online as for walk-in.",Doesn’t take coupons,1,False,2022-03-17 02:10:00,,KFC
54,Charleweez,"The app does not notify you when a menu item is out of stock and yet it still charges you. I placed an order and the restaurant told me that they did not have any pot pies, but there was no way for me to cancel the order to avoid being charged for out-of-stock items! So I was still charged for the order even though the restaurant didn’t have all of the items I wanted. And I couldn’t cancel! Fix your app KFC!",Horrible,1,False,2022-02-10 02:47:43,,KFC
55,what73632773,"How can a company like PepsiCo allow such a bad app and then location issues when you get there? Come on, PepsiCo, I switched to Pepsi when the other company when woke (Woke-a-Cola). This may not be a priority but it should at least be given some attention!",Major Company,4,False,2021-11-15 21:56:56,,KFC
56,life360suckmydick,"I exclusively do mobile ordering, I love ordering online and checking the deals. This is the worst fast food up I have used. it’s never worked for me, it is incredibly glitchy. There have been multiple times that I’ve just exited out of the whole app and went somewhere else because of how frustrating it is to wait for glitches and loading to sort out.",Worst food app ever,1,False,2022-11-28 23:34:09,,KFC
57,Most avid listener!,"This app is a mess. It took forever to get the payment part to come up so I could populate it; then the “place order” bar never became active. Get it right, or take it down, guys! This is a simple app and the difficulties with it are frustrating in the extreme. Now I have to watch my payment card to ensure I wasn’t charged despite never being able to click that place order bar.",This app is so screwed up,1,False,2021-08-17 21:58:04,"{'id': 24835217, 'body': 'Thank you for letting us know about your experience with the KFC app. We are working to improve our app experience and will escalate this to our team. Can you send us  screenshots of any errors to KFCMobileTeam@yum.com so that we can follow up.', 'modified': '2021-08-31T21:38:08Z'}",KFC
58,bgs50,Used app. Charged the card. After long wait when I got to the speaker they only had part of the order. Didn’t have time to call people that I was picking up for to see what else. Tried to call customer service to refund card only to not get anyone on the line ( big surprise). Will never use app again. Cash only from now on in case they fail to deliver.,Charged card but no food,1,False,2021-10-01 02:04:28,,KFC
59,svpersxnic,The app doesn’t communicate to the store properly so when you get to the location you have a confused worker who now is dealing with an annoyed customer. Pointless to use the app in general at that point. It also makes up a time the order will be done and it’s always inaccurate. Just go somewhere else this place hasn’t figured out customer service at all.,App is awful,1,False,2022-09-22 02:00:16,,KFC
60,FIREuser5808,"I have a mission. That mission is to download every single kfc app in existence. It doesn’t matter how much time or space it will take, but this is my mission.",Some person,5,False,2022-05-16 14:38:39,,KFC
61,Slappy the chi monkey,"KFC How are you not gonna have a deals tab on your app?  The $5 deal is nowhere to be found on the app, none of the cheaper meals are listed.  We’re getting the app and selling our data souls for some points and a free chicken leg every 6 months once we accumulate enough points to earn it.  Let us get the cheap meals too.  Please tell me I’m dumb and missed it",I’m hoping I’m just dumb,2,False,2021-06-12 00:25:42,"{'id': 23377743, 'body': 'We understand this can be frustrating. We are working towards making this better. Thank you for your feedback.', 'modified': '2021-06-14T18:15:20Z'}",KFC
62,dollycase,"Downloaded the app just to order online. Place my order and less than a minute later they call me on the phone to say they’re out of chicken and have been for several hours. 
Why, on the app, doesn’t it say, “out of stock” or some other notification? Why am I now responsible to call corporate to cancel my order? She can’t just cancel it? There are so many head scratchers here.",Out of chicken,1,False,2021-10-16 03:08:25,"{'id': 25910734, 'body': ""We sincerely apologize for the troubles you've had with the app. If you have not already you can reach out to our customer service team at 1-800-CALL-KFC or through virtual assistant at https://www.kfc.com/contact and they can assist you with this issue."", 'modified': '2021-10-26T18:13:51Z'}",KFC
63,AleshaLee,"Downloaded specifically so I could order and pay ahead. Tender buckets are nowhere to be found. Grateful I didn’t actually order after I read other reviews stating missing menu items, inability to pay using Apple Pay, and in at least one case, someone ordering and the store not able to fulfill the order or help with a refund. What is the point of this app?!",Incomplete menu,1,False,2021-05-21 17:51:33,,KFC
64,Sherri N.B.,"I ordered your 8 chick and 8 tenders meal with all the sides it was $30, then I added a large mashed potatoes and large corn when I got there to pick it up. It was a 30 minutes wait,
I didn’t even check the bags it took so long. 
When home there were no tenders nor was ther macaroni and cheese. And this meal costs $50. I cannot locate a number to call that store so I’m very up set. This should be delivered to me asap.",Order,1,False,2022-06-19 19:29:39,,KFC
